Replicate,NWord,NChar,AveWdLen
1,7,30,3.857142857142857
2,7,31,3.857142857142857
3,7,31,3.857142857142857
4,7,31,3.857142857142857
5,7,31,3.5714285714285716
6,7,31,3.5714285714285716
7,7,31,3.857142857142857
8,7,31,3.857142857142857
9,7,31,3.857142857142857
10,7,31,3.7142857142857144
11,7,31,3.857142857142857
12,7,31,3.857142857142857
13,7,30,3.7142857142857144
14,6,31,4.333333333333333
15,6,31,4.0
16,7,31,3.857142857142857
17,7,31,3.857142857142857
18,6,31,4.3333333333
19,7,31,3.857142857142857
20,7,31,3.7142857142857144
21,6,31,4.333333333333333
22,6,31,4.333333333333333
23,7,31,3.857142857142857
24,6,30,4.1666666667
25,7,30,3.857142857142857
26,7,31,3.7142857142857144
27,6,31,4.0
28,7,31,3.857142857142857
29,7,31,3.8571428571
30,7,31,3.7142857143
31,6,31,4.3333333333
32,7,30,3.7142857142857144
33,6,30,4.0
34,7,30,3.857142857142857
35,7,30,3.857142857142857
36,7,31,3.857142857142857
37,7,31,3.857142857142857
38,7,31,3.857142857142857
39,7,31,3.857142857142857
40,7,30,3.857142857142857
41,7,31,3.857142857142857
42,6,30,4.333333333333333
43,7,31,3.857142857142857
44,7,30,3.7142857142857144
45,7,31,3.857142857142857
46,7,31,3.7142857142857144
47,7,30,3.7142857142857144
48,7,31,3.8571428571
49,7,31,3.857142857142857
50,7,31,3.857142857142857
51,7,30,3.857142857142857
52,7,31,3.857142857142857
53,7,31,3.857142857142857
54,7,30,3.7142857142857144
55,6,30,4.1666666667
56,6,31,4.5
57,7,31,3.857142857142857
58,7,31,3.7142857142857144
59,6,30,4.5
60,7,31,3.7142857142857144
61,7,30,3.857142857142857
62,7,31,3.857142857142857
63,7,31,3.7142857142857144
64,7,31,3.7142857142857144
65,7,31,3.857142857142857
66,6,31,4.333333333333333
67,6,31,4.0
68,7,31,3.857142857142857
69,6,31,4.3333333333
70,7,31,3.857142857142857
71,7,31,3.86
72,6,30,4.0
73,7,30,3.7142857142857144
74,7,31,3.5714285714285716
75,7,30,3.857142857142857
76,7,31,3.8571428571
77,6,31,4.333333333333333
78,7,30,3.857142857142857
79,7,31,3.5714285714285716
80,7,31,3.857142857142857
81,6,31,4.3333333333
82,7,31,3.857142857142857
83,7,30,3.857142857142857
84,6,31,4.6666666667
85,7,31,3.7142857142857144
86,7,30,3.857142857142857
87,7,31,3.7142857142857144
88,7,31,3.7142857142857144
89,6,31,4.5
90,6,30,4.1666666667
91,7,31,3.857142857142857
92,7,30,3.857142857142857
93,6,31,4.166666666666667
94,6,31,4.333333333333333
95,7,31,3.857142857142857
96,7,31,3.857142857142857
97,6,31,4.666666666666667
98,6,31,4.3333333333
99,7,31,3.857142857142857
100,7,31,3.857142857142857
